x y
0 0
1000 52.9411764706
2000 55.3846153846
3000 52.9411764706
4000 52.9411764706
5000 122.315351644
6000 102.857142857
7000 102.857142857
8000 102.857142857
9000 42.02666938
10000 47.4956146503
11000 95.1791031851
12000 36.6605521397
13000 59.9856106572
14000 38.1871625391
15000 35.4656707657
16000 99.0813855234
17000 56.6007122979
18000 58.9861498941
19000 64.6587183466
20000 83.2045310848
21000 30.852772874
22000 17.5085517481
23000 16.0143146476
24000 88.4141568739
25000 23.8142802466
26000 61.0169491525
27000 59.9012831009
28000 54.4776640429
29000 56.3995118827
30000 40.0529563735
31000 11.7263843648
32000 11.7263843648
33000 11.7263843648
34000 12.4466830099
35000 11.7263843648
36000 11.7263843648
37000 11.7263843648
38000 9.65147453083
39000 9.65147453083
40000 9.7394877598
41000 11.3565216448
42000 9.51026214184
43000 9.57574145498
44000 8.43933808548
45000 7.80686731747
46000 9.57574145498
47000 9.57574145498
48000 12.035375842
49000 12.2194871396
50000 11.0311741697
51000 9.45276388458
52000 8.25688610168
53000 9.03294501773
54000 8.07877626746
55000 12.5470083887
56000 11.1951329634
57000 12.5427513316
58000 10.6009130843
59000 12.6166993948
60000 12.5681418998
61000 8.00280800281
62000 12.6275510204
63000 9.57574145498
64000 9.57574145498
65000 8.68657561695
66000 9.57574145498
67000 9.57574145498
68000 15.652173913
69000 15.652173913
70000 15.652173913
71000 15.652173913
72000 15.652173913
73000 11.7035733064
74000 12.3120372932
75000 9.57574145498
76000 6.55339805825
77000 5.18657253998
78000 5.13156804422
79000 5.55662743585
