A B
500 24.1141
1000 20.6353
2000 18.0621
3000 15.6391
4000 13.9215
5000 13.5697
6000 9.83332
7000 9.42166
8000 8.08949
9000 8.7275
10000 7.79385
11000 7.6789
12000 7.21631
