x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 17.3333333333
7000 16.0
8000 15.3333333333
9000 14.6666666667
10000 14.0
11000 14.6666666667
12000 15.3333333333
13000 14.6666666667
14000 14.0
15000 13.3333333333
16000 12.0
17000 12.0
18000 12.0
19000 12.0
20000 10.6666666667
21000 10.6666666667
22000 10.0
23000 9.33333333333
24000 10.0
25000 10.0
26000 10.0
27000 10.6666666667
28000 11.3333333333
29000 12.0
30000 13.3333333333
31000 14.0
32000 14.0
33000 17.3333333333
34000 19.3333333333
35000 20.0
36000 20.0
37000 19.3333333333
38000 18.6666666667
39000 18.0
40000 20.0
41000 20.0
42000 20.6666666667
43000 22.0
44000 24.0
45000 22.6666666667
46000 22.6666666667
47000 21.3333333333
48000 23.3333333333
49000 24.6666666667
50000 24.6666666667
51000 24.0
52000 26.0
53000 27.3333333333
54000 27.3333333333
55000 27.3333333333
56000 26.6666666667
57000 26.6666666667
58000 26.6666666667
59000 26.0
60000 24.6666666667
61000 24.6666666667
62000 24.6666666667
63000 24.6666666667
64000 24.6666666667
65000 24.6666666667
66000 24.6666666667
67000 24.6666666667
68000 24.6666666667
69000 24.6666666667
70000 24.6666666667
71000 24.6666666667
72000 24.6666666667
73000 24.6666666667
74000 25.3333333333
75000 26.0
76000 26.0
77000 27.3333333333
78000 27.3333333333
79000 28.0
