x y
0 20.0
1000 20.0
2000 20.0
3000 20.0
4000 20.0
5000 20.0
6000 20.0
7000 20.0
8000 19.5
9000 18.5
10000 18.0
11000 18.0
12000 18.0
13000 18.0
14000 17.5
15000 18.0
16000 17.5
17000 14.5
18000 12.5
19000 10.5
20000 10.5
21000 10.5
22000 10.5
23000 10.5
24000 10.5
25000 9.0
26000 9.0
27000 8.5
28000 8.5
29000 8.5
30000 8.5
31000 8.5
32000 8.5
33000 8.5
34000 7.0
35000 7.0
36000 7.0
37000 7.0
38000 7.0
39000 6.5
40000 6.0
41000 5.5
42000 5.5
43000 5.0
44000 5.0
45000 5.0
46000 5.0
47000 5.0
48000 5.0
49000 4.5
50000 4.5
51000 4.5
52000 5.0
53000 5.0
54000 5.5
55000 5.0
56000 4.5
57000 4.5
58000 4.5
59000 4.5
60000 4.5
61000 4.5
62000 4.0
63000 4.0
64000 4.0
65000 4.0
66000 4.0
67000 3.5
68000 3.0
69000 2.5
70000 2.5
71000 2.5
72000 2.5
73000 2.5
74000 2.5
75000 1.5
76000 1.5
77000 1.5
78000 1.5
79000 1.5
